Paper_Name,Year,Citation_Number,Type
Fast and Accurate Image Matching with Cascade Hashing for 3D Reconstruction,2014,181,Oral
Predicting Matchability,2014,131,Oral
Trinocular Geometry Revisited,2014,14,Oral
Critical Configurations for Radial Distortion Self-Calibration,2014,76,Oral
Minimal Solvers for Relative Pose with a Single Unknown Radial Distortion,2014,40,Oral
Reconstructing PASCAL VOC,2014,204,Oral
Spectral Graph Reduction for Efficient Image and Streaming Video Segmentation,2014,96,Oral
Weakly Supervised Multiclass Video Segmentation,2014,70,Oral
Video Motion Segmentation Using New Adaptive Manifold Denoising Model,2014,11,Oral
"Cut, Glue, &amp; Cut: A Fast, Approximate Solver for Multicut Partitioning",2014,61,Oral
Neural Decision Forests for Semantic Image Labelling,2014,151,Oral
Pulling Things out of Perspective,2014,514,Oral
Event Detection Using Multi-level Relevance Labels and Multiple Features,2014,29,Poster
Full-Angle Quaternions for Robustly Matching Vectors of 3D Rotations,2014,7,Poster
Human vs. Computer in Scene and Object Recognition,2014,73,Poster
Semi-supervised Spectral Clustering for Image Set Classification,2014,60,Poster
"Look at the Driver, Look at the Road: No Distraction! No Accident",2014,118,Poster
Measuring Distance between Unordered Sets of Different Sizes,2014,57,Poster
Learning Mid-level Filters for Person Re-identification,2014,655,Poster
DeepReID: Deep Filter Pairing Neural Network for Person Re-identification,2014,2730,Poster
Lacunarity Analysis on Image Patterns for Texture Classification,2014,85,Poster
Segmentation-Aware Deformable Part Models,2014,34,Poster
From Categories to Individuals in Real Time - A Unified Boosting Approach,2014,11,Poster
NMF-KNN: Image Annotation Using Weighted Multi-view Non-negative Matrix Factorization,2014,169,Poster
Fine-Grained Visual Comparisons with Local Learning,2014,487,Poster
Inferring Analogous Attributes,2014,55,Poster
Beyond Comparing Image Pairs: Setwise Active Learning for Relative Attributes,2014,61,Poster
Visual Persuasion: Inferring Communicative Intents of Images,2014,132,Poster
Histograms of Pattern Sets for Image Classification and Object Recognition,2014,34,Poster
Incorporating Scene Context and Object Layout into Appearance Modeling,2014,50,Poster
Co-segmentation of Textured 3D Shapes with Sparse Annotations,2014,11,Poster
How to Evaluate Foreground Maps,2014,784,Poster
MILCut: A Sweeping Line Multiple Instance Learning Paradigm for Interactive Image Segmentation,2014,134,Poster
SCAMS: Simultaneous Clustering and Model Selection,2014,26,Poster
The Shape-Time Random Field for Semantic Video Labeling,2014,17,Poster
The Secrets of Salient Object Segmentation,2014,1397,Poster
Non-rigid Segmentation Using Sparse Low Dimensional Manifolds and Deep Belief Networks,2014,9,Poster
An Exemplar-Based CRF for Multi-instance Object Segmentation,2014,52,Poster
Object Partitioning Using Local Convexity,2014,196,Poster
"Bayesian Active Contours with Affine-Invariant, Elastic Shape Prior",2014,10,Poster
Max-Margin Boltzmann Machines for Object Segmentation,2014,42,Poster
Multiscale Combinatorial Grouping,2014,1397,Poster
RIGOR: Reusing Inference in Graph Cuts for Generating Object Regions,2014,146,Poster
Efficient Hierarchical Graph-Based Segmentation of RGBD Videos,2014,80,Poster
Point Matching in the Presence of Outliers in Both Point Sets: A Concave Optimization Approach,2014,20,Poster
Multiple Structured-Instance Learning for Semantic Segmentation with Uncertain Training Data,2014,31,Poster
Joint Motion Segmentation and Background Estimation in Dynamic Scenes,2014,36,Poster
SeamSeg: Video Object Segmentation Using Patch Seams,2014,148,Poster
Laplacian Coordinates for Seeded Image Segmentation,2014,68,Poster
Error-Tolerant Scribbles Based Interactive Image Segmentation,2014,61,Poster
Iterative Multilevel MRF Leveraging Context and Voxel Information for Brain Tumour Segmentation in MRI,2014,47,Poster
Large Scale Multi-view Stereopsis Evaluation,2014,403,Poster
Timing-Based Local Descriptor for Dynamic Surfaces,2014,4,Poster
A Minimal Solution to the Generalized Pose-and-Scale Problem,2014,58,Poster
A General and Simple Method for Camera Pose and Focal Length Determination,2014,56,Poster
Partial Symmetry in Polynomial Systems and Its Applications in Computer Vision,2014,20,Poster
Efficient Computation of Relative Pose for Multi-camera Systems,2014,67,Poster
Simultaneous Localization and Calibration: Self-Calibration of Consumer Depth Cameras,2014,42,Poster
Minimal Scene Descriptions from Structure from Motion Models,2014,96,Poster
"Fast, Approximate Piecewise-Planar Modeling Based on Sparse Structure-from-Motion and Superpixels",2014,76,Poster
On Projective Reconstruction in Arbitrary Dimensions,2014,1,Poster
Stereo under Sequential Optimal Sampling: A Statistical Analysis Framework for Search Space Reduction,2014,11,Poster
Efficient Pruning LMI Conditions for Branch-and-Prune Rank and Chirality-Constrained Estimation of the Dual Absolute Quadric,2014,11,Poster
Very Fast Solution to the PnP Problem with Algebraic Outlier Rejection,2014,179,Poster
Finding Vanishing Points via Point Alignments in Image Primal and Dual Domains,2014,110,Poster
Discriminative Feature-to-Point Matching in Image-Based Localization,2014,71,Poster
Two-View Camera Housing Parameters Calibration for Multi-layer Flat Refractive Interface,2014,54,Poster
Accurate Localization and Pose Estimation for Large 3D Models,2014,112,Poster
Relative Pose Estimation for a Multi-camera System with Known Vertical Direction,2014,82,Poster
Optimal Decisions from Probabilistic Models: The Intersection-over-Union Case,2014,176,Oral
Covariance Trees for 2D and 3D Processing,2014,5,Oral
Hierarchical Subquery Evaluation for Active Learning on a Graph,2014,190,Oral
Anytime Recognition of Objects and Scenes,2014,71,Oral
Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,2014,31763,Oral
Human Action Recognition by Representing 3D Skeletons as Points in a Lie Group,2014,1590,Oral
Multi-view Super Vector for Action Recognition,2014,240,Oral
Unsupervised Spectral Dual Assignment Clustering of Human Actions in Context,2014,51,Oral
Parsing Videos of Actions with Segmental Grammars,2014,186,Oral
Rate-Invariant Analysis of Trajectories on Riemannian Manifolds with Application in Visual Speech Recognition,2014,62,Oral
Piecewise Planar and Compact Floorplan Reconstruction from Images,2014,140,Poster
Data-Driven Flower Petal Modeling with Botany Priors,2014,23,Poster
User-Specific Hand Modeling from Monocular Depth Sequences,2014,109,Poster
Class Specific 3D Object Shape Priors Using Surface Normals,2014,58,Poster
Frequency-Based 3D Reconstruction of Transparent and Specular Objects,2014,33,Poster
Human Body Shape Estimation Using a Multi-resolution Manifold Forest,2014,27,Poster
Quality Dynamic Human Body Modeling Using a Single Low-Cost Depth Camera,2014,99,Poster
Single-View 3D Scene Parsing by Attributed Grammar,2014,55,Poster
Separation of Line Drawings Based on Split Faces for 3D Object Reconstruction,2014,12,Poster
When 3D Reconstruction Meets Ubiquitous RGB-D Images,2014,16,Poster
Stable Template-Based Isometric 3D Reconstruction in All Imaging Conditions by Linear Least-Squares,2014,37,Poster
Discrete-Continuous Depth Estimation from a Single Image,2014,439,Poster
Leveraging Hierarchical Parametric Networks for Skeletal Joints Based Action Segmentation and Recognition,2014,230,Poster
Seeing What You're Told: Sentence-Guided Activity Recognition in Video,2014,42,Poster
Action Localization with Tubelets from Motion,2014,314,Poster
Actionness Ranking with Lattice Conditional Ordinal Random Fields,2014,92,Poster
Multiple Granularity Analysis for Fine-Grained Action Detection,2014,82,Poster
Human Action Recognition across Datasets by Foreground-Weighted Histogram Decomposition,2014,78,Poster
Range-Sample Depth Feature for Action Recognition,2014,142,Poster
The Language of Actions: Recovering the Syntax and Semantics of Goal-Directed Human Activities,2014,487,Poster
Complex Activity Recognition Using Granger Constrained DBN (GCDBN) in Sports and Surveillance Video,2014,36,Poster
Incremental Activity Modeling and Recognition in Streaming Videos,2014,58,Poster
Super Normal Vector for Activity Recognition Using Depth Sequences,2014,461,Poster
Discriminative Hierarchical Modeling of Spatio-temporally Composable Human Activities,2014,101,Poster
A Multigraph Representation for Improved Unsupervised/Semi-supervised Learning of Human Actions,2014,42,Poster
StoryGraphs: Visualizing Character Interactions as a Timeline,2014,76,Poster
Learning Receptive Fields for Pooling from Tensors of Feature Response,2014,7,Poster
Towards Unified Human Parsing and Pose Estimation,2014,120,Poster
Ask the Image: Supervised Pooling to Preserve Feature Locality,2014,16,Poster
Similarity Comparisons for Interactive Fine-Grained Categorization,2014,122,Poster
Continuous Manifold Based Adaptation for Evolving Visual Domains,2014,166,Poster
Talking Heads: Detecting Humans and Recognizing Their Interactions,2014,81,Poster
Salient Region Detection via High-Dimensional Color Transform,2014,353,Poster
The Role of Context for Object Detection and Semantic Segmentation in the Wild,2014,1355,Poster
Switchable Deep Network for Pedestrian Detection,2014,307,Poster
Compact Representation for Image Classification: To Choose or to Compress,2014,55,Poster
Capturing Long-Tail Distributions of Object Subcategories,2014,164,Poster
